Company,Ratings,Reviews,Industry,Location,Salary,Jobs,Benefits
Sammaan Capital Limited,3.8,2.5k,NBFC,Gurgaon / Gurugram,667750.0,,118
Zepto,3.5,2.5k,Internet,Bangalore / Bengaluru,696500.0,59,28
Gallagher,3.7,2.5k,Insurance,Bangalore / Bengaluru,873500.0,169,120
Movate,3.1,2.5k,IT Services & Consulting,Chennai,1519750.0,114,
DBS Bank,3.7,2.4k,Banking,Hyderabad / Secunderabad,,283,192
Alldigi Tech,3.9,2.4k,BPO,Chennai,1413749.0,18,112
Foundever,3.4,2.4k,BPO,Hyderabad / Secunderabad,364500.0,74,199
Adani Power,3.7,2.4k,Power,Mundra,669000.0,,161
Exl India,3.5,2.4k,Logistics,New Delhi,389000.0,,163
Statestreet HCL Services,3.4,2.4k,BPO,Chennai,939250.0,,201
V,4.1,2.4k,Retail,Gurgaon / Gurugram,1142000.0,17,210
Himalaya Wellness,4.0,2.4k,Pharma,Bangalore / Bengaluru,638750.0,35,255
Tractors and Farm Equipment,3.9,2.4k,Industrial Machinery,Chennai,699000.0,11,274
Paras Hospital,4.1,2.4k,Healthcare,Patna,690999.0,48,126
Patanjali Ayurved,3.9,2.4k,FMCG,Haridwar,527750.0,,248
BT Group,3.8,2.4k,Telecom,Gurgaon / Gurugram,508750.0,,264
Parle Agro,3.9,2.4k,Beverage,Mumbai,1355500.0,,211
McDonald,3.9,2.4k,Hospitality,New Delhi,,,410
Tata Advanced Systems,3.7,2.4k,Defence & Aerospace,Bangalore / Bengaluru,649750.0,,132
JCB,3.9,2.4k,Industrial Machinery,Pune,727000.0,,233
IntouchCX,2.7,2.4k,BPO,Hyderabad / Secunderabad,368749.0,224,145
Niva Bupa Health Insurance Company,3.6,2.4k,Insurance,New Delhi,,10,119
ICICI Securities,3.9,2.3k,Financial Services,Mumbai,476999.0,22,184
Axis Direct,3.6,2.3k,Financial Services,Mumbai,631999.0,16,226
Planet Spark,3.9,2.3k,EdTech,Gurgaon / Gurugram,882250.0,64,191
Biocon Limited,4.0,2.3k,Biotechnology,Bangalore / Bengaluru,556500.0,21,
Mahindra Holidays & Resorts,3.5,2.3k,Hospitality,Mumbai,,57,202
Tata Electronics,3.9,2.4k,Semiconductors,Hosur,898750.0,47,61
Taj Hotels Resorts and Palaces,4.2,2.3k,Hospitality,Mumbai,610000.0,,178
Datamatics Global Services,3.3,2.3k,IT Services & Consulting,Mumbai,387500.0,97,183
Laurus Labs,4.3,2.3k,Pharma,Visakhapatnam,499250.0,,206
Mahindra Rural Housing Finance,4.0,2.3k,NBFC,Mumbai,,,180
Emcure Pharmaceuticals,3.7,2.3k,Pharma,Pune,914500.0,51,233
Intellect Design Arena,3.6,2.3k,Software Product,Chennai,1550250.0,48,118
Canara HSBC Life Insurance,3.6,2.3k,Insurance,Gurgaon / Gurugram,720250.0,15,168
Capgemini Engineering,3.4,2.3k,IT Services & Consulting,Bangalore / Bengaluru,1109500.0,,139
KocharTech,3.7,2.3k,IT Services & Consulting,Kolkata,289250.0,51,582
,3.4,2.3k,IT Services & Consulting,Mumbai,1409750.0,26,149
Cholamandalam MS General Insurance,3.7,2.3k,Insurance,Chennai,1409750.0,,166
Photon Interactive,4.1,2.3k,IT Services & Consulting,Chennai,1299500.0,1.3k,123
Info Edge,4.0,2.3k,Internet,Noida,612000.0,358,299
Hero FinCorp,3.9,2.3k,NBFC,New Delhi,908000.0,32,129
Physicswallah,3.6,2.3k,EdTech,Noida,712500.0,74,20
Aditya Birla Capital,3.8,2.3k,Financial Services,Mumbai,845250.0,,164
Syngene International,3.9,2.3k,Clinical Research,Bangalore / Bengaluru,1257749.0,,217
Cybage,3.7,2.3k,IT Services & Consulting,Pune,1426000.0,41,268
Aditya Birla Group,4.1,2.3k,Metals & Mining,Mumbai,1452500.0,,247
Cadila Pharmaceuticals,3.3,2.3k,Pharma,Ahmedabad,970499.0,110,167
Delhi Public School,3.8,2.3k,Education & Training,New Delhi,604500.0,202,258
Lifestyle,4.3,2.3k,Retail,Bangalore / Bengaluru,,15,278
Akums Drugs & Pharmaceuticals Limited,4.2,2.3k,Pharma,Haridwar,426500.0,12,147
Foxconn,3.8,2.3k,Electronics Manufacturing,Chennai,438249.0,13,182
Adani Group,3.8,2.3k,Power,Ahmedabad,821500.0,125,101
Bureau Veritas,3.8,2.3k,Analytics & KPO,Mumbai,1503750.0,,176
Eureka Forbes,3.6,2.2k,Consumer Electronics & Appliances,Mumbai,626000.0,,227
Sopra Steria,3.9,2.2k,IT Services & Consulting,Noida,1332250.0,181,240
Xoriant,4.1,2.2k,IT Services & Consulting,Pune,554249.0,47,413
Straive,3.3,2.2k,IT Services & Consulting,Chennai,409749.0,74,122
Aavas Financiers,3.9,2.2k,Financial Services,Jaipur,1464750.0,54,137
Kia India,3.9,2.2k,Automobile,Anantapur,602000.0,95,165
Unacademy,2.9,2.2k,EdTech,Bangalore / Bengaluru,1150500.0,37,153
Sobha,3.7,2.2k,Real Estate,Bangalore / Bengaluru,553250.0,53,219
Radisson Hotels,4.0,2.2k,Hospitality,New Delhi,611500.0,253,312
RMSI,3.6,2.2k,IT Services & Consulting,Hyderabad / Secunderabad,409250.0,17,184
GVK Emergency Management and Research Institute,3.6,2.2k,Profit,Lucknow,492250.0,26,176
Myntra,3.9,2.2k,Internet,Bangalore / Bengaluru,1391750.0,74,305
Lava International,3.9,2.2k,Consumer Electronics & Appliances,Noida,701249.0,,302
Team Computers,3.7,2.1k,IT Services & Consulting,New Delhi,544499.0,140,115
Endurance Technologies,3.9,2.1k,Auto Components,Aurangabad,489749.0,14,230
TaskUs,3.1,2.1k,BPO,Indore,,84,116
TCE,3.8,2.1k,Engineering & Construction,Mumbai,455500.0,46,165
SBI Securities,3.7,2.1k,Financial Services,Mumbai,447750.0,42,104
Renault Nissan Technology & Business Centre India,3.8,2.1k,Automobile,Chennai,1640750.0,45,210
Panasonic Life Solutions India,3.9,2.1k,Consumer Electronics & Appliances,Haridwar,,17,105
Apollo Pharmacy,3.7,2.1k,Pharma,Hyderabad / Secunderabad,1178500.0,1.1k,125
GlaxoSmithKline Pharmaceuticals,4.0,2.1k,Pharma,Bangalore / Bengaluru,240000.0,37,112
Nokia Networks,4.1,2.1k,Hardware & Networking,Chennai,888000.0,,10
Whirlpool,3.9,2.1k,Consumer Electronics & Appliances,Pune,1121000.0,14,201
Huawei Technologies,4.0,2.1k,Telecom,Bangalore / Bengaluru,988250.0,,288
Cisco,4.1,2.1k,Hardware & Networking,Bangalore / Bengaluru,2314250.0,94,223
Star Union Dai,3.9,2.1k,Insurance,Mumbai,517250.0,30,95
Bharti AXA Life Insurance,3.6,2.1k,Insurance,Mumbai,599000.0,238,170
Indian Railways,4.2,2.1k,Railways,Kolkata,688000.0,,158
Adani Wilmar,4.1,2.1k,FMCG,Ahmedabad,751750.0,103,171
Lodha Group,4.1,2.1k,Real Estate,Mumbai,1232000.0,130,173
SBI General Insurance,3.6,2.1k,Insurance,Mumbai,805000.0,24,132
Shahi Exports,3.9,2.1k,Fashion & Textile,Bangalore / Bengaluru,706250.0,41,228
Coromandel International,4.1,2.1k,Agro Chemicals,Visakhapatnam,623250.0,22,217
Sify Technologies,3.7,2.1k,IT Services & Consulting,Chennai,690999.0,22,152
Bank of Baroda,3.5,2.1k,Banking,Mumbai,1740250.0,,150
Simplex Infrastructures,3.4,2.1k,Engineering & Construction,Kolkata,713000.0,,286
ValueLabs,3.6,2.1k,IT Services & Consulting,Hyderabad / Secunderabad,1883500.0,77,266
Ola Cabs,3.3,2.1k,Internet,Bangalore / Bengaluru,1238500.0,17,227
Daikin Airconditioning India Pvt. Ltd.,4.1,2.1k,Consumer Electronics & Appliances,Neemrana,805500.0,16,144
Meesho,3.7,2.1k,Internet,Bangalore / Bengaluru,1696750.0,154,296
Ambuja Cements,3.8,2.1k,Building Material,Mumbai,1725250.0,,211
Allstate,3.7,2.1k,Insurance,Pune,,35,186
CorroHealth infotech,3.6,2.1k,Analytics & KPO,Hyderabad / Secunderabad,475250.0,124,
Life Insurance Corporation of India,4.4,2.1k,Insurance,New Delhi,490750.0,,242
Microsoft Corporation,3.7,2.1k,Software Product,Bangalore / Bengaluru,3668750.0,,196
BHEL,4.2,2.1k,Electrical Equipment,Bangalore / Bengaluru,1285250.0,,231
BNP Paribas,3.7,2.1k,Financial Services,Mumbai,1357999.0,400,174
Cargill,4.0,,Food Processing,Bangalore / Bengaluru,553750.0,428,148
Henry Harvin Education,3.6,,EdTech,Noida,586500.0,20,63
Force Motors,3.6,,Automobile,Pune,1216749.0,,152
CAMS,3.6,,Financial Services,Chennai,815749.0,23,50
Pfizer,3.9,,Pharma,Visakhapatnam,343500.0,40,276
upGrad,3.4,,EdTech,Bangalore / Bengaluru,1083250.0,51,125
Spark Minda,3.9,,Auto Components,Pune,670750.0,12,36
Raymond Lifestyle Limited,4.1,,Fashion & Textile,Mumbai,,,230
Power Mech Projects,3.8,,Engineering & Construction,Hyderabad / Secunderabad,478749.0,,158
FirstCry,3.6,,Internet,Pune,,11,79
Reliance Trends,4.0,,Retail,Bangalore / Bengaluru,369250.0,,220
Extramarks Education,3.4,,EdTech,Noida,469500.0,24,142
Renault,4.1,,,,750750.0,,268
Bharat Petroleum,4.1,,Oil & Gas,Mumbai,563250.0,,187
Mercedes,3.7,,IT Services & Consulting,Bangalore / Bengaluru,448000.0,104,195
State Street Syntel,3.7,,Financial Services,Mumbai,928500.0,,281
Ninjacart,3.8,,Internet,Bangalore / Bengaluru,2449499.0,16,137
Poonawalla Fincorp,3.5,,NBFC,Pune,1069500.0,,129
Future Generali India Life Insurance,3.5,,Insurance,Mumbai,561499.0,10,163
Brakes India,3.9,,Auto Components,Chennai,395750.0,,198
GAO Tek,4.4,,Electrical Equipment,New York,863250.0,,26
Nuvoco Vistas,4.1,,Building Material,Kolkata,,28,126
Delphi TVS,3.9,,Auto Components,Chennai,370249.0,,192
ITC Hotels,4.1,,Hospitality,Bangalore / Bengaluru,310250.0,,199
Saint,3.9,,Building Material,Mumbai,911750.0,76,243
Kotak Securities,3.5,,Financial Services,Mumbai,1173000.0,27,153
Newgen Software Technologies,3.9,,IT Services & Consulting,Noida,1461000.0,21,147
CitiusTech,3.2,,IT Services & Consulting,Mumbai,646000.0,104,163
Reliance General Insurance,3.6,,Insurance,Mumbai,1676750.0,14,131
Senco Gold,4.4,1.9k,Jewellery,Kolkata,614750.0,,35
Jio Platforms,3.4,1.9k,IT Services & Consulting,Mumbai,1614500.0,,62
Biological E,4.2,1.9k,Pharma,Hyderabad / Secunderabad,774500.0,31,221
JK Tyre,3.6,1.9k,Auto Components,Chennai,1336500.0,,189
HSBC Electronic Data Processing,4.1,1.9k,IT Services & Consulting,Bangalore / Bengaluru,854749.0,,20
Novartis,4.2,1.9k,Pharma,Hyderabad / Secunderabad,462500.0,285,226
Morgan Stanley,3.6,1.9k,Financial Services,Mumbai,1204500.0,,150
SGS,3.8,1.9k,Other,Mumbai,2495750.0,90,178
YASH Technologies,3.7,1.9k,IT Services & Consulting,Hyderabad / Secunderabad,2136250.0,431,172
SAP,4.1,1.9k,Software Product,Bangalore / Bengaluru,2378750.0,161,284
Infinite Computer Solutions,3.3,1.9k,IT Services & Consulting,Bangalore / Bengaluru,1289250.0,223,105
EPAM Systems,3.7,1.9k,IT Services & Consulting,Hyderabad / Secunderabad,1344000.0,55,132
IDBI Bank,3.4,1.9k,Banking,Mumbai,1345750.0,,137
L&T Energy Hydrocarbon,3.8,1.9k,Engineering & Construction,Vadodara,,,193
AECOM,4.2,1.9k,Engineering & Construction,Gurgaon / Gurugram,683000.0,103,243
Tata Motors Finance,4.0,1.9k,NBFC,Mumbai,2413250.0,,151
Paisabazaar.com,3.4,1.9k,Internet,Gurgaon / Gurugram,,38,98
Narayana Health,3.9,1.9k,Healthcare,Bangalore / Bengaluru,527500.0,92,143
Parle Products,3.9,1.9k,FMCG,Mumbai,3831249.0,,201
Google,4.4,1.9k,Software Product,Bangalore / Bengaluru,1054000.0,473,131
Honeywell Automation,3.7,1.9k,Industrial Automation,Pune,1403000.0,,159
Microland,3.5,1.9k,IT Services & Consulting,Bangalore / Bengaluru,693749.0,551,158
R.R. Donnelley,3.7,1.9k,Marketing & Advertising,Chennai,683250.0,22,243
Manipal Hospitals,4.0,1.9k,Healthcare,Bangalore / Bengaluru,,97,131
Dr Lal PathLabs,4.2,1.9k,Healthcare,New Delhi,630250.0,71,192
Philips,3.8,1.9k,Medical Equipment,Bangalore / Bengaluru,592000.0,117,180
Uflex,3.8,1.9k,Packaging,Noida,2074500.0,64,117
